site,CLASS,lat,lon,noflowfraction_mean,n_years
11151700,Non-ref,36.411076,-121.3193738,0.21191256825714286,35
11152000,Non-ref,36.28052076,-121.3227063,0.11330937935897437,39
11152300,Non-ref,36.55357267,-121.5493856,0.3053092610769231,39
11152500,Non-ref,36.631071,-121.672446,0.35556361697435895,39
11152600,Non-ref,36.75579196,-121.6105005,0.6117299008857143,35
11158600,Non-ref,36.85189909,-121.4299368,0.5202020485128205,39
11159200,Non-ref,36.9393968,-121.7705065,0.28845929343589743,39
11162630,Non-ref,37.46660747,-122.434142,0.06754393058974359,39
11176400,Ref,37.56132196,-121.6838389,0.40010039394871794,39
11180500,Ref,37.6060452,-122.0238504,0.5906621546410257,39
11180700,Non-ref,37.58576818,-122.0482955,0.2283612322051282,39
11180960,Ref,37.71770737,-122.0544067,0.3137800564871795,39
11182500,Non-ref,37.772983,-121.9946825,0.07882765923076923,39
11200800,Non-ref,35.94161745,-118.8228702,0.09785624205128204,39
11216400,Non-ref,36.9080027,-119.1251159,0.3217265995483871,31
11224500,Ref,36.21467719,-120.4707116,0.5173914082051282,39
11253310,Ref,36.40217399,-120.4334917,0.5097701279487179,39
11269700,Non-ref,37.5835456,-120.2757438,0.12380642269444445,36
11274500,Ref,37.31549247,-121.1252081,0.7279043747179487,39
11274630,Ref,37.48659935,-121.2091026,0.4377937408974359,39
11284400,Ref,37.8418714,-120.1849103,0.3581086731025641,39
11299600,Ref,37.96103615,-120.6152035,0.41004202622857144,35
11451100,Ref,39.1654458,-122.6199862,0.04555864576923077,39
11452500,Non-ref,38.727126,-121.8071874,0.2798521226153846,39
11456000,Non-ref,38.51129745,-122.455813,0.09798025160606061,33
11458000,Non-ref,38.3682457,-122.3033085,0.08874570294871795,39
11459500,Non-ref,38.10769775,-122.5799815,0.04471184176923077,39
11461000,Non-ref,39.1954471,-123.1950048,0.0673596458974359,39
11480390,Ref,40.28431329,-123.3353034,0.16606998634210526,38
11493500,Non-ref,42.74013528,-121.8344618,0.43933138158333335,36
12115700,Ref,47.36621625,-121.6928821,0.08202577685294118,34
12513000,Non-ref,46.66347327,-118.863334,0.4297084452352941,34
13058000,Non-ref,43.5833333,-111.746111,0.4677008020909091,33
13112000,Non-ref,44.00277778,-112.221111,0.6399568816470588,34
13132500,Non-ref,43.58194444,-113.2708333,0.5679859513513513,37
13132520,Non-ref,43.5158333,-113.0819444,0.7100975210967742,31
13132535,Non-ref,43.57388889,-112.9433333,0.7820709799032258,31
13174500,Non-ref,41.68879428,-115.8448067,0.041192497,39
13215000,Non-ref,43.57444444,-118.2097222,0.12993688042105264,38
13217500,Non-ref,43.9075,-118.1533333,0.05059510436842105,38
14015000,Non-ref,46.0762483,-118.2735722,0.12192963633333333,39
14362250,Ref,42.15401355,-123.075323,0.08777068431428571,35
208111310,Ref,NA,NA,0.0696963989032258,31
